paso,posicion,velocidad,accion,recompensa,siguiente_posicion,siguiente_velocidad,llego_a_la_bandera,limite_de_tiempo
1,-0.5216616988182068,0.0,2,-1.0,-0.5206761956214905,0.0009854717645794153,False,False
2,-0.5206761956214905,0.0009854717645794153,2,-1.0,-0.5187126398086548,0.001963552786037326,False,False
3,-0.5187126398086548,0.001963552786037326,2,-1.0,-0.5157857537269592,0.00292690796777606,False,False
4,-0.5157857537269592,0.00292690796777606,2,-1.0,-0.5119174122810364,0.003868315601721406,False,False
5,-0.5119174122810364,0.003868315601721406,2,-1.0,-0.5071367025375366,0.004780723247677088,False,False
6,-0.5071367025375366,0.004780723247677088,2,-1.0,-0.5014793872833252,0.005657307803630829,False,False
7,-0.5014793872833252,0.005657307803630829,2,-1.0,-0.4949878454208374,0.006491534411907196,False,False
8,-0.4949878454208374,0.006491534411907196,2,-1.0,-0.4877106249332428,0.007277215830981731,False,False
9,-0.4877106249332428,0.007277215830981731,2,-1.0,-0.47970205545425415,0.00800857413560152,False,False
10,-0.47970205545425415,0.00800857413560152,2,-1.0,-0.47102177143096924,0.00868029985576868,False,False
11,-0.47102177143096924,0.00868029985576868,2,-1.0,-0.4617341458797455,0.009287605062127113,False,False
12,-0.4617341458797455,0.009287605062127113,2,-1.0,-0.4519078731536865,0.009826280176639557,False,False
13,-0.4519078731536865,0.009826280176639557,2,-1.0,-0.44161513447761536,0.010292734019458294,False,False
14,-0.44161513447761536,0.010292734019458294,2,-1.0,-0.43093112111091614,0.010684036649763584,False,False
15,-0.43093112111091614,0.010684036649763584,2,-1.0,-0.41993317008018494,0.010997947305440903,False,False
16,-0.41993317008018494,0.010997947305440903,2,-1.0,-0.40870022773742676,0.011232927441596985,False,False
17,-0.40870022773742676,0.011232927441596985,2,-1.0,-0.39731207489967346,0.011388151906430721,False,False
18,-0.39731207489967346,0.011388151906430721,2,-1.0,-0.3858485817909241,0.011463497765362263,False,False
19,-0.3858485817909241,0.011463497765362263,2,-1.0,-0.37438905239105225,0.011459527537226677,False,False
20,-0.37438905239105225,0.011459527537226677,2,-1.0,-0.36301159858703613,0.011377453804016113,False,False
21,-0.36301159858703613,0.011377453804016113,2,-1.0,-0.35179251432418823,0.011219101026654243,False,False
22,-0.35179251432418823,0.011219101026654243,2,-1.0,-0.34080564975738525,0.010986852459609509,False,False
23,-0.34080564975738525,0.010986852459609509,2,-1.0,-0.33012205362319946,0.010683590546250343,False,False
24,-0.33012205362319946,0.010683590546250343,0,-1.0,-0.32180944085121155,0.008312631398439407,False,False
25,-0.32180944085121155,0.008312631398439407,0,-1.0,-0.3159194588661194,0.005889969412237406,False,False
26,-0.3159194588661194,0.005889969412237406,2,-1.0,-0.3104882538318634,0.005431206896901131,False,False
27,-0.3104882538318634,0.005431206896901131,2,-1.0,-0.30554869771003723,0.004939558915793896,False,False
28,-0.30554869771003723,0.004939558915793896,2,-1.0,-0.30113035440444946,0.004418346099555492,False,False
29,-0.30113035440444946,0.004418346099555492,0,-1.0,-0.29925936460494995,0.0018709709402173758,False,False
30,-0.29925936460494995,0.0018709709402173758,0,-1.0,-0.29994678497314453,-0.0006874012760818005,False,False
31,-0.29994678497314453,-0.0006874012760818005,0,-1.0,-0.3031885027885437,-0.0032417387701570988,False,False
32,-0.3031885027885437,-0.0032417387701570988,0,-1.0,-0.3089654743671417,-0.005776960402727127,False,False
33,-0.3089654743671417,-0.005776960402727127,0,-1.0,-0.31724321842193604,-0.00827775802463293,False,False
34,-0.31724321842193604,-0.00827775802463293,0,-1.0,-0.3279716670513153,-0.010728445835411549,False,False
35,-0.3279716670513153,-0.010728445835411549,0,-1.0,-0.3410845398902893,-0.013112863525748253,False,False
36,-0.3410845398902893,-0.013112863525748253,0,-1.0,-0.3564988970756531,-0.015414340421557426,False,False
37,-0.3564988970756531,-0.015414340421557426,0,-1.0,-0.37411463260650635,-0.017615754157304764,False,False
38,-0.37411463260650635,-0.017615754157304764,0,-1.0,-0.3938143253326416,-0.019699683412909508,False,False
39,-0.3938143253326416,-0.019699683412909508,0,-1.0,-0.4154629707336426,-0.02164865843951702,False,False
